,accuracy,precision,recall,auc,criterion,splitter,max_depth
0,0.8366,0.8852124183006536,0.8017018128005919,0.8396841671752198,gini,best,
0,0.8317,0.8743213352101348,0.8042915279319275,0.8341222550412796,gini,random,
0,0.8389,0.888116179177746,0.803181650018498,0.8420566499983653,entropy,best,
0,0.8374,0.8783026421136909,0.8116907140214576,0.8396720875287959,entropy,random,
0,0.8389,0.888116179177746,0.803181650018498,0.8420566499983653,log_loss,best,
0,0.8374,0.8783026421136909,0.8116907140214576,0.8396720875287959,log_loss,random,
