,accuracy,precision,recall,auc,learning_rate,n_estimators
0,0.8264,0.892933618843683,0.7713651498335183,0.8312637677770116,0.1,100
0,0.8321,0.8904253090299602,0.7861635220125787,0.8361596887381134,0.1,200
0,0.8314,0.8891213389121339,0.7861635220125787,0.8353978254381571,0.1,300
0,0.8325,0.8900271795943968,0.7874583795782464,0.8364806046781087,0.3,100
0,0.8341,0.8857319332921556,0.7957824639289678,0.837486356039364,0.3,200
0,0.8353,0.8858550605625128,0.7981871994080652,0.8385798861646334,0.3,300
