,accuracy,precision,recall,auc,n_estimators
0,0.8542,0.8828549262994569,0.8420273769885313,0.8552757694694507,50
0,0.8603,0.8921933085501859,0.8435072142064373,0.8617840816352169,100
0,0.8602,0.8934040047114252,0.841842397336293,0.8618223741143807,200
0,0.8587,0.8926253687315634,0.839622641509434,0.8603859833581127,300
0,0.859,0.8925343811394892,0.840362560118387,0.8606471050483098,400
0,0.8589,0.8926675840377433,0.8399926008139105,0.860570963010351,500
