,accuracy,precision,recall,auc,criterion,max_depth,n_estimators
0,0.8368,0.8964285714285715,0.789308176100629,0.8409971442105234,entropy,,100
0,0.8375,0.8967471143756558,0.7904180540140584,0.8416609207815177,entropy,,200
0,0.8379,0.8970002097755402,0.7909729929707732,0.8420472278741545,entropy,,300
0,0.8383,0.8969201759899434,0.7918978912319645,0.8424008393904707,entropy,,400
